ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis 
Sveti Bric (Nanos),1216,"Goriško, Notranjsko in Snežniško hribovje",965,cerkev,53,1198,2,"Cerkev svetega Brica (po nekaterih zapisih tudi sveti Brikcij) se nahaja južno od Suhega vrha, pod pobočji Votle stene, ki se strmo spušča z Nanoške planote. Od cerkve, pred katero je nekaj klopi, zaradi gozda, ki le to obdaja ni razgleda."
Sveti Duh (Hrušica),1198,"Goriško, Notranjsko in Snežniško hribovje",1221,"vrh, cerkev",50,1251,2,"Cerkev Svetega Duha se nahaja le nekaj metrov pod istoimenskim vrhom na pobočjih gozdnate Hrušice, pogorja med Colom, Logatcem in Planino. Od cerkve v bližini katere se nahaja vpisna skrinjica z žigom, zaradi gozda ni lepšega razgleda, le ta je omejen le na bližnji Nanos."
Sveti Duh (Pedrovo),2148,"Goriško, Notranjsko in Snežniško hribovje",365,cerkev,36,1617,2,"Cerkvica Svetega Duha se nahaja na razgledni vzpetini na začetku vasi Pedrovo. Od cerkve se nam odpre lep razgled proti Vipavski dolini, Nanosu, Čavnu in ostalim okoliškim goram."
Sveti Duh (Sveti Peter),2446,"Goriško, Notranjsko in Snežniško hribovje",253,"vrh, cerkev",18,2066,2,"Cerkev Sv. Duha se nahaja nad naseljem Sveti Peter, le ta pa nad dolino Dragonje in Drnice. Od cerkve, ob kateri je tudi pokopališče se nam odpre lep pogled na okoliško hribovje in del Piranskega zaliva. Nekoliko pod vrhom, v strnjenem delu naselja se nahaja še cerkev sv. Petra, v zaselku Goreli pa še Tonina hiša."
Sveti Gregor na Dobravici,1143,"Goriško, Notranjsko in Snežniško hribovje",432,cerkev,39,1538,1,Cerkev svetega Gregorja se nahaja na manjši vzpetini južno od Iga. Od cerkve oziroma bližnje okolice se nam odpre lep razgled na okoliško hribovje in del Ljubljanskega barja.
Sveti Gregor na Slemenih,2002,"Goriško, Notranjsko in Snežniško hribovje",737,"vrh, koča, cerkev",43,1453,1,"Sveti Gregor je naselje, ki se nahaja na razglednih Slemenih. Sredi naselja se nahaja župnijska cerkev sv. Gregorja Velikega, v bližini pa še veliko športno igrišče, dva gasilska domova, rojstna hiša Janeza Evangelista Kreka in gostilna."
Sveti Hieronim,1409,"Goriško, Notranjsko in Snežniško hribovje",1020,cerkev,66,866,7,"Cerkev sv. Hieronima se nahaja na južnem delu planote Nanos, tik nad strmimi pobočji Rebrnic. Od cerkve, ki je bila zgrajena le ta 1360, se nam odpre lep razgled na vrhove, ki obdajajo Vipavsko dolino."
Sveti Jožef (Mlečnik),1813,"Goriško, Notranjsko in Snežniško hribovje",441,"vrh, cerkev",39,1549,1,"Cerkev sv. Jožefa, na kateri je na vhodu v zvonik vklesana letnica 1657, se nahaja na hribu imenovanem Mlečnik. Mlečnik je z gozdom poraščen vrh, ki se nahaja južno od Ljubljanskega barja, točneje nad vasema Kamnik pod Krimom in Preserje."
Sveti Kvirik,1718,"Goriško, Notranjsko in Snežniško hribovje",408,"vrh, cerkev",59,1036,2,"Cerkvica oz. kapela sv. Kvirika (na zemljevidih in drugod zasledimo tudi še imena kot so sv. Kirk, Kirik, Kvirk, Kvirin, Kirin) se nahaja na razgledni vzpetini med Sočergo in Movraško valo. Od kapele oz. njene bližnje okolice, se nam odpre lep razgled na Kraški rob, del Movraške vale in gričevje primorskega krasa."
Sveti Kvirin na Paljevem,2489,"Goriško, Notranjsko in Snežniško hribovje",321,cerkev,15,2155,2,"Cerkev sv. Kvirina se nahaja med naselji Plave, Deskle in Paljevo in sicer vzhodno od Prižnice, vrha znanega tudi pod imenom kota 383. Cerkev je bila prvič zgrajena leta 1513, med prvo svetovno vojno je bila porušena, nato pa leta 1928 ponovno zgrajena oz. obnovljena. Od cerkve, ki so jo pozneje še nekajkrat obnovili se nam odpre lep pogled le na del proti naselju Ložice in hribom in vasem nad omenjenim naseljem. Na druge strani razgled ovira bližnji gozd."
Sveti Lenart (Krvava Peč),752,"Goriško, Notranjsko in Snežniško hribovje",805,"vrh, cerkev",58,1050,3,Cerkev Svetega Lenarta se nahaja na manjši vzpetini nad vasjo Krvava Peč in dolino reke Iške. Z vrha oziroma bližnje razgledne točke je lep razgled na okoliško hribovje.
Sveti Lovrenc (Jezero),1907,"Goriško, Notranjsko in Snežniško hribovje",329,"vrh, cerkev",58,1052,1,"Cerkev sv. Lovrenca se nahaja na manjši vzpetini, jugovzhodno od vasi Jezero pri Podpeči. Z vrha, se nam odpre lep razgled proti Krimu, Sveti Ani, Ljubljanskemu barju, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp."
Sveti Martin (Šilentabor),1946,"Goriško, Notranjsko in Snežniško hribovje",723,cerkev,40,1520,4,"Cerkev sv. Martina, se nahaja na razglednem grebenu, južno od Šilentabora. Od cerkve, se nam odpre lep razgled predvsem proti vzhodu in zahodu, kjer lahko ob lepem vremenu vidimo greben Javornikov, Snežnik, Vremščico in hribovje nad dolino reke Reke."
Sveti Miklavž nad Vipavo,862,"Goriško, Notranjsko in Snežniško hribovje",438,cerkev,59,1026,2,"Cerkev svetega Miklavža se nahaja pod pobočji Podraške Ture, v bližini bolj znane Gradiške Ture. Od cerkve je lep pogled na pečine omenjenih dveh vrhov in na Vipavsko dolino."
Sveti Primož in Felicijan (Osredek),2284,"Goriško, Notranjsko in Snežniško hribovje",751,"vrh, koča, cerkev",41,1494,1,"Cerkev sv. Primoža in Felicijana v Osredku se nahaja na razgledni vzpetini nekako sredi vasi, katero sestavlja več manjših zaselkov. Osredek je sicer razloženo naselje, ki se nahaja nad potokoma Stara voda (Stara voda se izliva v Zalo, Zala pa je levi pritok Iške) in Črni potok (tudi Črni potok je levi pritok Iške) ter nad reko Iško. V bližini cerkve se nahaja še turistična kmetija Pri Ujčevih, kjer vas bodo gostoljubno sprejeli. Z Osredka se ob lepem vremenu odpre razgled, ki seže vse do Kamniških in Savinjskih Alp, ob nekoliko slabši vidljivosti pa le na okoliško hribovje, predvsem svet nad reko Iško in del Notranjske."
Sveti Rupert nad Drago,1151,"Goriško, Notranjsko in Snežniško hribovje",409,"vrh, cerkev",39,1530,1,"Cerkev svetega Ruperta se nahaja severno od vasi Sarsko, le ta pa nad vasjo Draga (vas med Igom in Pijavo Gorico). Od cerkve oziroma njene bližnje okolice pa se nam odpre lep razgled na okoliško hribovje, kjer najlepše vidimo bližnji Krim (1107m)."
Sveti Socerb (Artviže),1702,"Goriško, Notranjsko in Snežniško hribovje",817,"vrh, cerkev",71,731,3,"Cerkev sv. Socerba se nahaja na razglednem hribu nad vasjo Artviže, ki je s svojimi 817 m najvišji vrh Brkinov. Od cerkve, ki je bila zgrajena v 17. stoletju, se nam odprelep razgled na Vremščico, Vremsko dolino, Matarsko podolje, Slavnik, ob lepem vremenu pa razgled seže vse do Julijskih Alp, Karavank in Kamniško savinjskih Alp.  Vpisna skrinjica ter žig, pa se nahaja nekoliko pod vrhom, točneje sredi vasi Artviže, kjer stoji tudi večji spomenik NOB."
Sveti Socerb (Vipavska brda),2737,"Goriško, Notranjsko in Snežniško hribovje",555,"vrh, cerkev",14,2177,2,"Sveti Socerb je razgleden vrh v Vipavskih brdih, na katerem stoji cerkev sv. Servula. Razgledna vzpetina leži nad Podrago, Podnanosom in Orehovico. Z vrha, na katerem se nahaja tudi vpisna skrinjica z vpisno knjigo, se nam odpre lep razgled na del Vipavske doline, Nanos, Trnovski gozd, Sveto Goro, Sabotin..."
Sveti Štefan (Zanigrad),1706,"Goriško, Notranjsko in Snežniško hribovje",246,cerkev,47,1333,2,"Cerkev sv. Štefana se nahaja v deloma opuščeni vasici Zanigrad (vas brez stalnih prebivalcev) nad Hrastovljami. Od cerkve v kateri je vsako leto na god sv. Štefana blagoslov konj, se nam odpre lep razgled na Lačno, Hrastovlje in Kraški rob."
Sveti Tomaž (Planinca),1663,"Goriško, Notranjsko in Snežniško hribovje",572,cerkev,46,1377,3,"Cerkev svetega Tomaža na Planinci, se nahaja sredi večjega travnika, ob markirani poti Jezero - Krim. Od cerkve oziroma njene bližnje okolice se nam odpre lep pogled na Ljubljansko barje, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp."
Sveti Urh (Zavratec),2545,"Goriško, Notranjsko in Snežniško hribovje",724,cerkev,14,2182,3,"Cerkev sv. Urha se nahaja sredi vasi Zavratec na nadmorski višini 724 m. od cerkve oz. bližnje okolice, se nam odpre lep razgled na okoliško hribovje ter na Zavratec."
Sveti Vid (Vidovska planota),2151,"Goriško, Notranjsko in Snežniško hribovje",846,"vrh, cerkev",42,1475,3,"Sveti Vid je manjša vasica sredi Vidovske planote, planote, ki se nahaja med Menišijo in zgornjim tokom doline reke Iške. Sredi vasi se nahaja gasilski dom in cerkev sv. Vida ter nekaj stanovanjskih hiš. Od Svetega Vida se nam odpre lep razgled po notranjskem hribovju, ob lepem vremenu pa se lepo vidi tudi Snežnik."
Tinjan,845,"Goriško, Notranjsko in Snežniško hribovje",374,"vrh, cerkev",86,354,6,"Tinjan je hribovska vasica, ki se nahaja med Dekani, Zgornjimi Škofijami in Ospom. Z vrha, ki je predzadnja točka SPP je lep razgled na Tržaški zaliv in okoliške vasi. Na vrhu stoji cerkev svetega Mihaela in antenski stolp. Žig za transverzalo se po novem nahaja na zidu cerkve in ne več pri privat hiši."
Trenk,2534,"Goriško, Notranjsko in Snežniško hribovje",769,,11,2242,1,"Trenk je 769 metrov visok vrh, ki se strmo dviga na Iškim Vintgarjem, točneje nad vodotoki Tracan, Zala in Iška. S samega vrha ni veliko veliko razgleda, saj ga deloma zastira gozd, je pa zelo lep pogled na okolico, predvsem proti reki Iški z bližnjega prepadnega pomola. Na vrhu se nahaja tabla z napisom 4000-1=3999, malo pod vrhom pa še obeležje NOB."
Tri učke,1717,"Goriško, Notranjsko in Snežniško hribovje",499,vrh,48,1304,3,"Tri učke (tudi Tri bučke in Tri očke) so kraška jama, ki se nahaja pod 499 metrov visokim hribom, kateri se nahaja nad dolino Movraške vale. Z vzpetine nad Tremi učkami, se nam ob lepem vremenu odpre lep razgled na del Primorske, Dolomite in Julijske Alpe."
Trinški vrh,1768,"Goriško, Notranjsko in Snežniško hribovje",1138,vrh,42,1467,2,"Trinški vrh (ponekod je zapisano tudi ime Trniški vrh) je 1138 m visoka gora, ki se nahaja na neporaščenem delu Kolovrata, točneje med vrhovoma Na gradu in Nagnoj. Z vrha, na katerem stoji tabla, ki označuje vrh, se nam odpre lep razgled na Kolovrat, Matajur, Krnsko pogorje in Beneško Slovenijo."
Trstelj,868,"Goriško, Notranjsko in Snežniško hribovje",643,vrh,92,196,9,"Trstelj je najvišji vrh, v grebenu Črnih hribov. S prostranega vrha, na katerem stojijo televizijski oddajniki je razgled razpolovljen. S severne strani vrha lepo vidimo Goriško s Sabotinom, Sveto Goro in Škabrijelom. Za omenjenimi vrhovi ob lepi vidljivosti vidimo velik del Julijcev, bolj desno pa Trnovsko planoto z Golaki, Čavnom in Nanosom na vzhodu, pod katerim vidimo Vipavsko dolino. Na južno stran pa vidimo Tržaški zaliv, del italijanske obale, ob lepi vidljivosti pa tudi savudrijski polotok."
Turn,1742,"Goriško, Notranjsko in Snežniško hribovje",1254,vrh,56,1108,1,"Turn je s 1254 m najvišji vrh 14 km dolge Velike gore, planote, ki se dviga med Ribniškim poljem in Liškim Potokom. Z vrha, ki ima žig in vpisno skrinjico, se nam kljub delni poraščenosti odpre lep razgled na Snežnik, notranjske gozdove ter ob lepem vremenu Julijske in Kamniško Savinjske Alpe."
Udornica Risnik,2939,"Goriško, Notranjsko in Snežniško hribovje",366,,3,2457,1,"Udornica Risnik, ki je nastala po udoru jamskega stropa, se nahaja južno od Divača in sicer le nekaj 10 metrov stran od prvih hiš. Udornica ima povprečen premer 220 metrov, povprečno globino pa 72 metrov. Dno udornice se nahaja na nadmorski višini 366 metrov."
Ulovka,744,"Goriško, Notranjsko in Snežniško hribovje",801,vrh,77,569,3,"Ulovka je vrh med Zaplano in Zavetiščem na Planini nad Vrhniko. Z vrha, do katerega so speljane vlečnice je lep razgled proti severu, kjer se lepo vidijo Kamniško Savinjske Alpe in okoliško hribovje, na ostale strani pa razgled ovira gozd."
Unška koliševka,1954,"Goriško, Notranjsko in Snežniško hribovje",594,,67,842,1,"Unška koliševka je do 125 m globoka jama udornica, ki je nastala s podrtjem stropa v veliki podzemni dvorani reke Rak. Jamo večinoma obdajajo strma pobočja in ostenja, tako da je dostop do dna udornice na nekaj mestih nevaren za zdrs. Ob informativni tabli ob vstopu v udornico, pa se začne splet starih italijanskih rovov, ki so bili grajeni v času med obema svetovnima vojnama."
Vanganelsko jezero,2913,"Goriško, Notranjsko in Snežniško hribovje",55,jezero,5,2390,1,"Vanganelsko jezero je umetno jezero nad naseljem Vanganel, v globino pa meri do 18 metrov."
Velika Jazbina,1977,"Goriško, Notranjsko in Snežniško hribovje",1201,vrh,43,1450,1,"Velika Jazbina je manj znan, deloma prepaden in na eno stran tudi precej razgleden vrh, ki se nahaja v osrčju Racne gore, le ta pa med Loško dolino in Loškim potokom. Z vrha, ki ga večinoma prerašča grmičevje, se nam odpre lep pogled na okoliško hribovje."
Velika ledena jama v Paradani,1229,"Goriško, Notranjsko in Snežniško hribovje",1140,,56,1117,1,"Velika ledena jama v Paradani, ki je znana po tem, da so iz nje izrezovali do 40kg težke kose ledu, ki so jih izvažali v Trst, Gorico in celo v Egipt, se nahaja severozahodno od Golakov na planoti Trnovskega gozda. Jama je globoka 385m ter dolga več kot 1500m.<br>Brez jamarske opreme si lahko ogledamo lahko vzhodni del jame."
Velika Milanja,1228,"Goriško, Notranjsko in Snežniško hribovje",1099,vrh,48,1312,1,"Velika Milanja je 1099m visok vrh, ki se nahaja vzhodno od Volovje rebri. Z deloma neporaščenega vrha, se nam odpre lep razgled na večji del jugozahodne Slovenije, Dolomite in del Julijskih Alp s predgorjem.<br>Le malo pod vrhom, na nekakšnem predvrhu, pa lahko opazimo manjše naravno okno."
Velika Plešivica,1163,"Goriško, Notranjsko in Snežniško hribovje",908,vrh,50,1252,2,"Velika Plešivica je 908 m visok vrh, ki se nahaja med Slavnikom in manj znano Malo Plešivico. Z vrha na katerem se nahaja uničena vpisna skrinjica je lep razgled proti Istri, Tržaškemu zalivu, Slavniku in bližnji Mali Plešivici, ob lepem vremenu pa razgled seže vse do Dolomitov."
Velika Špička,784,"Goriško, Notranjsko in Snežniško hribovje",955,vrh,72,707,4,"Velika Špička oz. Špičasto Stražišče je vrh, ki se nahaja severno od Slivnice. Z vrha, ki ima vpisno skrinjico z žigom je lep razgled proti Snežniku, že omenjeni Slivnici, Javornikom in Nanosu. Na ostale strani razgled ovira gozd, a se z malo truda vidi tudi del Julijcev."
Veliki Gradež,1716,"Goriško, Notranjsko in Snežniško hribovje",507,vrh,44,1419,3,"Veliki Gradež je 507 m visoka vzpetina, ki se nahaja med Zazidom in Movražem. Z vrha, ki se nahaja sredi prostranih pašnikov, se nam odpre lep razgled na primorsko gričevje in hribovje."
Veliki hrib (kota 526),2610,"Goriško, Notranjsko in Snežniško hribovje",526,vrh,12,2229,1,"Veliki hrib oz. kota 526, slednje ime se omenja predvsem v povezavi s prvo svetovno vojno (na nekaterih zemljevidih tudi Mali vrh), je vrh, ki se nahaja severozahodno od dobrih 100 metrov višjega Škabrijela. Na Velikem hribu se nahaja spomenik, informativna tabla in klopca, z vrha pa zaradi gozda ni razgleda na okoliške hribe."
Veliki Javornik (Javorniki),821,"Goriško, Notranjsko in Snežniško hribovje",1268,vrh,89,279,3,"Veliki Javornik je 1268 metrov visok vrh gozdnatega hribovja imenovanega Javorniki. Prostrani gozdovi Javornikov se razprostirajo od Postojne do Cerkniškega polja. V gozdovih Javornikov prebiva veliko vrst ptic in drugih divjih živali kot so medved, volk in ris. <br> Na vrhu Velikega Javornika stoji manjša hiška radiokluba Proteis iz Postojne."
Veliki Modrasovec,503,"Goriško, Notranjsko in Snežniško hribovje",1353,vrh,84,403,7,Veliki Modrasovec se nahaja na južnem delu Trnovskega gozda v bližini Predmeje. Na vrhu stoji stara vojaška zgradba na katero se moramo povzpeti za lepši razgled. Lepo se vidijo bližnji Golaki in zadaj nad njim del Kamniških Alp. Levo od Golakov pa se lepo vidijo Julijske Alpe kjer najbolj izstopata Triglav in nekoliko bližji Krn. Na primorsko stran razgled ovira gozd.
Veliki Rob,1209,"Goriško, Notranjsko in Snežniško hribovje",1237,vrh,83,419,9,"Veliki Rob je razgleden vrh, ki se nahaja med Kucljem (1237m) in Čavnom (1185m). Z vrha na katerem se nahaja križ je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv, Dolomite, Julijske Alpe in bližnji Trnovski gozd. <br>Vrh ima vpisno skrinjico in žig."
Veliki vrh (Črni hribi),1419,"Goriško, Notranjsko in Snežniško hribovje",463,vrh,35,1642,1,"Veliki vrh je 463 m visoka vzpetina, ki se nahaja v grebenu Črnih hribov. Z vrha, na katerem je vpisna skrinjica, zaradi gozda ni razgleda."
Veliko Cerje,1417,"Goriško, Notranjsko in Snežniško hribovje",343,vrh,57,1078,1,"Veliko Cerje oz. Veliki hrib je 343 m visoka vzpetina, ki se nahaja na skrajnem zahodnem delu grebena Črnih hribov. Z vrha, na katerem se nahaja velik spomenik v spomin priključitve Primorske k matični domovini, se nam odpre lep razgled na Vipavsko dolino, Trnovski gozd, del Jadranskega morja, južne Dolomite ter najvišje vrhove Julijskih Alp, kjer izstopajo Kanin, Krn in Triglav."
Veliko Gradišče,1959,"Goriško, Notranjsko in Snežniško hribovje",742,vrh,53,1195,2,"Veliko Gradišče je 742 m visok vrh, ki se nahaja južno od vasi lokev na Krasu in vzhodno od Kokoši. Z vrha, na katerem stoji betonski kamen, se nam odpre lep pogled proti Slavniku, Vremščici, Nanosu, Trnovskemu gozdu, ob lepem vremenu pa razgled seže vse do Krna in Triglava."
Vitovski hrib,1207,"Goriško, Notranjsko in Snežniško hribovje",604,"vrh, cerkev",54,1174,4,"Vitovski hrib je 604m visoka vzpetina, ki se nahaja severno od vasi Vitovlje v Vipavski dolini. Z vrha na katerem stoji cerkev, ki je posvečena Materi Božji oz. Svetemu Duhu je lep razgled po večjem delu Vipavske doline in hribovju, ki le to obdaja. Ob lepi vidljivosti, lahko poleg Tržaškega zaliva vidimo tudi velik del Dolomitov.<br>Le malo pod vrhom, pa se nahaja tudi Vitovsko jezero (dolgo 10m, široko 7m in globoko 1m), ki je edino naravno jezero v Vipavski dolini."
Vitovsko jezero,2149,"Goriško, Notranjsko in Snežniško hribovje",445,jezero,45,1396,1,"Vitovsko jezero, katero se nahaja pod Vitovskim hribom je dolgo 10 m, široko 7 m in globoko do 1 m. Jezero dobiva vodo iz manjšega izvira nekaj metrov nad jezerom. Vitovsko jezero je tudi edino naravno jezero v Vipavski dolini oz. nad njo."
Vodice,864,"Goriško, Notranjsko in Snežniško hribovje",651,vrh,71,726,11,"Vodice (po nekaterih zapisih tudi Sv. Jakob) so vrh, ki se nahaja na zahodnem delu Banjške planote. Z vrha, na katerem stoji mavzolej Generala Gonzage, je lep razgled proti bližnji Sveti Gori in sosednjemu Sabotinu. Na vrhu in njegovi bližnji okolici, je veliko vojaških rovov, kavern itd. <br>5 minut stran v smeri severozahod se nahaja še spomenik ""pri orlih"" (spomenik italijanskim alpinom)."
Vojkova koča na Nanosu,471,"Goriško, Notranjsko in Snežniško hribovje",1240,"vrh, koča",99,29,16,"Vojkova koča se nahaja na južnem obrobju nanoške planote, v neposredni bližini Pleše, vrha, ki je lepo viden z avtoceste. Od koče oz. Peše se nam odpre lep razgled na Postojnsko kotlino, Javornike, Snežnik, Vremščico, Slavnik, Tržaški zaliv, del Vipavske doline, Čaven in Golake. V bližini koče, ki je odprta v poletni sezoni, ter v zimskem času ob koncih tedna, se nahaja večje število že od daleč vidnih oddajnikov."
Volnik,1744,"Goriško, Notranjsko in Snežniško hribovje",546,vrh,73,692,1,"Volnik oz. po italijansko Monte Lanaro je 546 m visok hrib, ki se nahaja pri vasi Pliskovica na Krasu. Na vrhu je manjši stolp, razgled pa sega od Tržaškega zaliva do Julijskih Alp."
Volovja reber,1226,"Goriško, Notranjsko in Snežniško hribovje",975,vrh,55,1135,1,"Volovja reber, vsem znana po predlogu izgradenj vetrnih elektrarn, se nahaja zahodno od prostranih snežniških gozdov. S travnatega vrha, na katerem lahko opazimo številne, med njimi tudi zelo redke rastline, se nam odpre lep razgled po večjem delu jugozahodne Slovenije, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov. "
Vremščica,571,"Goriško, Notranjsko in Snežniško hribovje",1027,vrh,97,65,8,"Vremščica je pogorje, ki se razteza med Senožečami, Pivko in Divačo. Najvišji vrh pogorja je Velika Vremščica. Razgled z vrha sega od Dolomitov, Julijskih Alp, prek Nanosa do Kamniško Savinjskih Alp ter prek Javornikov, Snežnika in Slavnika do Jadranskega morja."
Vrh,1957,"Goriško, Notranjsko in Snežniško hribovje",777,vrh,32,1707,1,"Vrh je 777 m visok vrh, ki se nahaja severno od kraja Šembije in jugozahodno od Knežaka. S travnatega vrha, katerega obdajajo posamezni grmički, se nam odpre lep pogled proti Snežniku, Brkinom, okoliškem hribovju, ob lepem vremenu pa razgled seže vse do Julijskih Alp, Karavank in Kamniško Savinjskih Alp."
Vrh križa,1713,"Goriško, Notranjsko in Snežniško hribovje",411,vrh,38,1576,2,"Vrh križa je 411 m visok hrib, ki se nahaja severno od vasi Smokvica. Z vrha se nam odpre lep pogled na Istro, Tržaški zaliv, Slavnik, ob lepem vremenu pa razgled seže vse do Julijskih Alp in Dolomitov."
Vrh Skopice,1987,"Goriško, Notranjsko in Snežniško hribovje",863,vrh,38,1577,2,"Vrh Skopice je razgleden vrh, ki se nahaja med Čepovansko dolino, dolino reke Idrijce in dolino reke Trebuščice. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Šentviško planoto, Spodnje Bohinjske gore, Kojco, Porezen, Hudournik, Poldanovec in Golake, če pa se z vrha spustimo proti vzhodu do bližnjega razglednega pomola, pa se nam odpre še lep razgled proti Dolenji in Gorenji Trebuši."
Vrh Svetih Treh Kraljev,651,"Goriško, Notranjsko in Snežniško hribovje",884,"vrh, cerkev",79,534,9,"Cerkev Svetih Treh kraljev se nahaja na razgledni vzpetini nad vasjo Vrh Svetih Treh kraljev. Z vrha, ki ima razgledno ploščo je lep razgled po pred alpskem hribovju. V ozadju pa se vidijo tudi gore od Krna, Triglava, Blegoša, Ratitovca do Karavank. V verigi gora vzhodno od Krna lahko opazimo Spodnje Bohinjske gore, kjer najlažje prepoznamo Črno prst. Na vrh, ki ima poleg cerkve tudi pokopališče pripelje asfaltirana cesta. Nedeljska Sveta maša je običajno ob 10 uri."
Vrtovka,1421,"Goriško, Notranjsko in Snežniško hribovje",502,vrh,32,1709,1,"Vrtovka je 502 m visoka vzpetina, ki se nahaja v osrednjem delu grebena Črnih hribov. Z vrha, na katerem je vpisna skrinjica, zaradi gozda ni razgleda."
Žalostna gora pri Preserju,2064,"Goriško, Notranjsko in Snežniško hribovje",418,"vrh, cerkev",53,1184,2,"Žalostna gora pri Preserju je 418 metrov visok hrib, ki se nahaja nad krajema Prevalje pod Krimom in Kamnik pod Krimom. Na vrhu stoji cerkev Žalostne Matere Božje, ki je bila zgrajena v začetku 18. stoletja, ob njej pa obzidje s trinajstimi postajami križevega pota."
Zavetišče na Koradi,869,"Goriško, Notranjsko in Snežniško hribovje",803,koča,65,881,2,"Zavetišče na Koradi se nahaja le nekaj metrov pod isto imenskim vrhom. Od zavetišča, ki je običajno odprto ob sobotah, nedeljah in praznikih, zaradi gozda ni razgleda."
Zavetišče na Planini nad Vrhniko,669,"Goriško, Notranjsko in Snežniško hribovje",733,"vrh, koča",94,144,10,"Planina nad Vrhniko je za Vrhničane nekaj takega, kot za Ljubljančane Šmarna gora. Visoka je 733 m, na njo pa vodi kar nekaj poti iz različnih smeri. Poleti so poti v prijetni senci, pozimi pa so dobro shojene. Zaradi bližine je priljubljena izletniška točka, ki privablja mnogo ljubiteljev narave in drugih, ki si nabirajo kondicijo za zahtevnejše ture. Na vrhu se poleg planinske koče nahaja lesen razgledni stolp."
Zidovnik (Sedovnik),1165,"Goriško, Notranjsko in Snežniško hribovje",575,vrh,40,1506,1,"Zidovnik je 575m visok vrh, ki se nahaja zahodno od Sežane. Z vrha na katerem se nahaja nekaj oddajnikov je zaradi gozda razgled omejen in je večinoma le proti zahodu, kjer lahko vidimo del Tržaškega zaliva."
Zjat,1707,"Goriško, Notranjsko in Snežniško hribovje",449,vrh,47,1340,5,"Zjat je 449 m visok vrh, ki se nahaja nad skalno stopnjo Kraškega roba, točneje nad vasjo Podpeč. S prepadnega vrha, se nam odpre lep razgled na Slavnik, Kojnik, Lačno, morje in viadukt Črni Kal, ob lepem vremenu pa razgled seže vse do Dolomitov in Julijskih Alp.<br>Malo pod vrhom Zjata (tudi Vrh Sten), pa se nahaja 17 m visok obrambni stolp iz 11. stoletja."
Županov vrh,2342,"Goriško, Notranjsko in Snežniško hribovje",999,vrh,64,903,6,"Županov vrh je 999 metrov visok vrh, ki se nahaja jugovzhodno od Rakitne. S travnatega vrha, na katerem se nahaja trigonometrična točka ter manjši antenski stolp, se nam ob lepem vremenu odpre lep pogled na notranjska hribovja, ob lepi vidljivosti pa razgled seže vse do Alp."
Ablanca,461,Julijske Alpe,2004,vrh,92,204,9,"Ablanca je 2004 m visok vrh, ki se nahaja jugovzhodno od Studorskega prevala. Z vrha, ki je najvišji vrh manj znanega grebena imenovanega Sleme, se nam odpre lep pogled na večino bohinjskih gora."
Adam,711,Julijske Alpe,2012,vrh,79,527,1,"Adam, ki skupaj s sosednjo Evo spada med naravne znamenitosti TNPja se nahaja med Jezerskim prevalom, planino Jezerce in Prevalskim Stogom. Z vrha, ki se prepadno spušča proti jugu je lep razgled na Ograde, Debeli vrh, Škednjovec in ostale Fužinske vrhove."
Ajdovski gradec,2615,Julijske Alpe,580,vrh,19,2041,2,"Ajdovski gradec je manjši hrib na vzhodu Bohinjske Bistrice, ki se vzpenja desno nad reko Savo Bohinjko. Dostop je možen iz Bohinjske Bistrice in vasi Bitenj.<br>Vrh je delno poraščen, razgled se odpira le na verigo Spodnjih Bohinjskih gora od Črne prsti proti zahodu, na Dobravo in na del Bohinjske Bistrice, v kateri v oči pade cerkev sv. Nikolaja.<br>Na vrhu so klopice z mizo, informativna tabla o arheoloških najdiščih iz železne dobe in rimskih časov ter plošče z verzi Franceta Prešerna (Ajdovski gradec je omenjen v epsko-lirski pesnitvi Krst pri Savici).<br>Zaradi bujnega rastja je obisk najbolj priporočljiv spomladi in v pozni jeseni."
Aljažev dom v Vratih,242,Julijske Alpe,1015,"koča, bivak, cerkev",92,194,1,"Aljažev dom v Vratih je planinska postojanka, ki se nahaja ob vznožju najvišjih vrhov v Julijskih Alpah. Ob domu se nahaja tudi kapela sv. Cirila in Metoda in le nekaj minut stran tudi zimska soba s pečjo na drva. "
Batognica,374,Julijske Alpe,2164,vrh,93,189,9,"Batognica je 2164 m visoka gora, katero je med 1. sv. vojno zaznamovala t.i. minska vojna. Ostanki minske vojne med Italijani in Avstro-Ogrskimi vojaki so še danes vidni na vsakem koraku vršnega pobočja gore. Krater eksplozije v katerem je odjeknilo 4100 kg nitroglicerinske razstrelilne želatine, je še danes lepo viden z okoliških vrhov. <br>Sicer pa je z Batognice lep razgled na Krn, Kanin, Vrh nad peski ter velik del najvišjih vrhov Julijskih in Kamniško Savinjskih Alp."
